Time,Wind Dir,Wind Speed,Max Wind Dir,Max Wind Speed
1,111,7.0,96,10.3
2,104,9.5,98,17.3
3,87,11.5,93,17.9
4,92,10.4,101,16.1
5,91,11.7,90,20.2
6,79,10.4,90,19.8
7,80,8.8,90,18.7
8,74,9.1,101,16.7
9,85,9.0,96,15.0
10,78,8.0,101,12.6
11,82,4.5,23,9.3
12,100,4.6,104,7.0
13,104,3.9,107,5.6
14,95,4.0,110,5.6
15,99,4.9,110,8.6
16,92,5.9,118,9.5
17,84,6.1,90,8.7
18,71,4.7,76,7.4
19,67,4.2,51,6.2
20,79,6.3,73,8.4
21,91,5.5,121,9.5
22,78,6.6,84,8.6
23,75,5.7,79,8.7
24,107,6.9,93,13.0
